City,Ethnicity/Race,Religion,Sexual Orientation
Sullivan County,0,3,0
Tioga County,1,0,0
Ulster County,0,2,0
Wayne County,0,0,1
Westchester County,0,1,1
Other Agencies,10,15,2
"New York City Department of Environmental Protection Police, Eastview Precinct",1,0,0
New York City Metropolitan Transportation Authority,9,15,2
Total,,216,30
Cities,189,23,52
Akron,1,0,0
Alliance,1,0,0
Archbold,0,0,1
Ashland,0,0,1
Barberton,1,0,0
"Bath Township, Summit County",0,0,0
Bay Village,0,0,0
Beachwood,1,0,0
Bexley,0,1,0
Blanchester,1,0,0
Blue Ash,1,0,0
Butler Township,0,0,0
Chillicothe,8,0,0
Cincinnati,24,1,4
Circleville,3,0,0
Cleveland,20,7,7
Colerain Township,2,0,0
Columbiana,0,0,1
Columbus,35,6,12
Copley Township,0,0,1
Dayton,6,0,1
Defiance,1,0,0
Delaware,1,0,1
Delhi Township,1,0,0
East Liverpool,1,0,0
Eaton,0,0,0
Elyria,3,0,1
Englewood,0,0,0
Fairfax,1,0,0
Franklin,1,0,0
Gahanna,3,0,0
Germantown,1,0,0
Grafton,0,0,0
Grandview Heights,0,1,0
Green Township,4,0,0
Greenville,1,0,0
Grove City,0,0,1
Hamilton,3,0,0
Heath,1,0,2
Hilliard,3,0,0
Huber Heights,2,1,0
Hudson,1,0,0
"Jackson Township, Stark County",2,0,0
Lancaster,1,0,0
Lebanon,0,0,0
Lithopolis,0,0,1
Lockland,1,0,0
Logan,0,1,0
Lorain,1,0,0
Louisville,0,0,0
Lyndhurst,0,0,0
"Madison Township, Franklin County",0,0,0
"Madison Township, Lake County",1,0,0
Mansfield,2,0,1
Mason,1,0,0
Maumee,1,0,0
Mayfield Heights,0,0,1
Mentor-on-the-Lake,1,0,0
"Miami Township, Montgomery County",0,0,1
Miamisburg,2,0,0
Middletown,7,1,3
Moraine,2,0,0
Mount Vernon,1,0,0
Napoleon,2,0,0
Nelsonville,1,0,0
New Albany,0,1,0
New Boston,1,0,0
New Franklin,0,0,0
New Knoxville,1,0,0
New Philadelphia,2,0,0
North Baltimore,1,0,0
North Canton,1,1,0
Norton,0,0,1
Norwood,0,0,0
Orrville,1,0,0
Portsmouth,0,0,2
Reading,1,0,0
Riverside,0,0,0
Rocky River,0,0,0
Salem,0,0,0
Shawnee Township,1,0,0
Shelby,0,0,0
"Springfield Township, Hamilton County",2,0,0
Streetsboro,0,0,0
Toledo,2,0,2
Trotwood,2,0,0
Upper Arlington,1,1,0
Urbana,1,0,0
Van Wert,1,0,0
Wadsworth,0,0,2
Wapakoneta,1,0,0
Warren,1,0,0
Waverly,0,1,0
Weathersfield,0,0,0
West Carrollton,1,0,0
Whitehall,1,0,0
Wilmington,3,0,0
Wooster,1,0,0
Worthington,1,0,0
Youngstown,1,0,1
Zanesville,3,0,4
Universities and Colleges,2,1,1
"Ohio State University, Columbus",2,1,0
Otterbein University,0,0,1
Metropolitan Counties,13,1,2
Clermont,0,1,0
Cuyahoga,1,0,0
Franklin,1,0,0
Geauga,1,0,0
Lawrence,0,0,1
Lorain,0,0,0
Lucas,3,0,0
Medina,1,0,0
Miami,1,0,0
Montgomery,3,0,0
Summit,1,0,1
Union,1,0,0
Nonmetropolitan Counties,11,5,3
Champaign,1,0,0
Columbiana,0,0,0
Coshocton,1,1,0
Defiance,0,0,1
Hancock,0,1,0
Hardin,0,1,0
Highland,0,0,1
Knox,2,1,0
Logan,0,0,1
Morgan,1,0,0
Ross,2,0,0
Tuscarawas,1,1,0
Vinton,1,0,0
Washington,0,0,0
Wayne,2,0,0
State Police Agencies,0,0,0
Ohio State Highway Patrol,0,0,0
Other Agencies,1,0,2
Cleveland Metropolitan Park District,1,0,0
Greater Cleveland Regional Transit Authority,0,0,0
Ohio Department of Natural Resources,0,0,2
Total,,14,5
Cities,10,3,5
Chickasha,0,0,1
Collinsville,0,0,1
Cushing,1,0,0
McAlester,0,1,0
Noble,0,1,0
Norman,1,1,0
Oklahoma City,3,0,0
Pawnee,1,0,0
Sallisaw,1,0,0
Sulphur,0,0,1
Tulsa,1,0,2
West Siloam Springs,1,0,0
Wewoka,1,0,0
Universities and Colleges,0,0,1
Northeastern Oklahoma A&M College,0,0,1
Metropolitan Counties,2,1,1
Creek,0,1,0
Logan,2,0,0
Wagoner,0,0,1
Nonmetropolitan Counties,2,1,1
Craig,0,0,0
Garvin,1,0,0
Major,0,1,0
Roger Mills,1,0,0
Washita,0,0,1
Total,,116,29
Cities,96,24,22
Astoria,1,0,0
Baker City,1,0,0
Beaverton2,1,1,1
Bend,4,4,0
Canby,1,0,1
Central Point,1,1,0
Coos Bay,3,0,0
Corvallis,1,0,0
Cottage Grove,0,0,1
Eugene,28,10,2
Forest Grove,1,0,1
Gladstone,2,0,1
Gresham,1,0,0
Hermiston,1,1,0
Hillsboro2,5,0,5
Hood River,1,0,0
Klamath Falls,1,0,0
La Grande,0,0,1
Lake Oswego,1,0,0
Madras,1,0,0
McMinnville,1,0,0
Medford,1,0,0
Milwaukie,0,0,1
Myrtle Creek,0,1,0
North Bend,1,1,1
Ontario,1,0,0
Oregon City,3,0,0
Portland2,23,4,5
Redmond,1,0,0
Salem,1,0,0
Sherwood,1,0,0
Springfield,1,0,0
St. Helens,1,0,0
Tigard,3,1,2
Tualatin,2,0,0
West Linn,1,0,0
Universities and Colleges,1,2,0
Portland State University,1,0,0
University of Oregon,0,2,0
Metropolitan Counties,12,2,2
Clackamas2,9,2,1
Jackson,1,0,0
Washington,2,0,1
Nonmetropolitan Counties,7,1,2
Coos,6,0,1
Jefferson,1,0,0
Lincoln,0,1,0
Umatilla,0,0,1
State Police Agencies,0,0,1
"State Police, Marion County",0,0,1
Total,,28,9
Cities,22,8,4
East Pennsboro Township,0,1,0
Forest City,1,0,0
Hampden Township,1,0,0
Johnstown,2,0,0
Kenhorst,2,0,0
Philadelphia,7,4,1
Pittsburgh,5,2,3
Reading,3,0,0
Rush Township,1,0,0
Westtown-East Goshen Regional,0,1,0
Universities and Colleges,4,0,0
"Pennsylvania State University, University Park",2,0,0
Shippensburg University,2,0,0
State Police Agencies,2,1,0
Bradford County,0,1,0
Chester County,1,0,0
Venango County,1,0,0
Total,,4,5
Cities,4,5,4
Barrington,1,0,0
Central Falls,0,0,1
Cranston,0,1,0
Cumberland,1,0,0
East Greenwich,0,1,0
East Providence,0,1,0
Johnston,1,0,0
Pawtucket,0,0,2
Providence,1,2,1
Universities and Colleges,0,0,4
Brown University,0,0,4
Total,,36,20
Cities,20,4,5
Bluffton,1,1,0
Calhoun Falls,1,0,0
Charleston,1,1,2
Clio,1,0,0
Darlington,0,0,1
Florence,2,0,0
Gaffney,1,0,0
Greenville,1,0,1
Hartsville,0,0,0
Inman,1,0,0
Lake View,1,0,0
McColl,0,0,0
Myrtle Beach,1,0,0
North Myrtle Beach,1,1,0
Pamplico,1,0,0
Rock Hill,2,0,1
Springdale,1,0,0
St. Matthews,1,0,0
Summerville,1,1,0
Williston,1,0,0
York,1,0,0
Universities and Colleges,1,0,0
Medical University of South Carolina,1,0,0
The Citadel,0,0,0
Metropolitan Counties,9,13,1
Beaufort,1,0,0
Berkeley,2,9,0
Charleston,1,1,0
Greenville,1,0,0
Lexington,0,0,1
Pickens,1,0,0
Spartanburg,3,3,0
Nonmetropolitan Counties,6,3,1
Bamberg,0,2,0
Colleton,2,0,1
Dillon,1,0,0
Greenwood,0,1,0
Marlboro,1,0,0
Orangeburg,2,0,0
Total,,13,3
Cities,9,3,3
Box Elder,1,0,0
Flandreau,0,1,0
Huron,1,0,0
Martin,1,0,0
Mitchell,0,0,1
Rapid City,1,0,0
Sioux Falls,3,2,2
Tea,1,0,0
Watertown,1,0,0
Metropolitan Counties,1,0,1
Pennington,1,0,1
Nonmetropolitan Counties,3,0,0
Brown,1,0,0
Stanley,1,0,0
Walworth,1,0,0
Total,,91,12
Cities,38,8,6
Centerville,1,0,0
Cleveland,7,0,0
Collierville,1,0,0
Cookeville,0,0,0
Covington,1,0,0
Goodlettsville,1,0,0
Greeneville,1,0,0
Kingsport,0,1,1
Knoxville,3,2,2
Lebanon,4,0,0
Livingston,0,1,0
Maryville,1,0,0
Memphis,4,0,1
Metropolitan Nashville Police Department,3,2,1
Milan,1,0,0
Morristown,2,0,0
Mountain City,1,0,0
Munford,0,1,0
Murfreesboro,0,0,1
Newbern,1,0,0
Pigeon Forge,2,0,0
Spring Hill,2,0,0
Springfield,1,1,0
White House,1,0,0
Universities and Colleges,0,0,1
Tennessee Technological University,0,0,1
Metropolitan Counties,17,3,2
Anderson,0,0,1
Blount,3,1,0
Bradley,2,0,1
Dickson,1,0,0
Knox,3,0,0
Montgomery,1,0,0
Roane,1,0,0
Sullivan,1,2,0
Washington,5,0,0
Nonmetropolitan Counties,5,1,0
DeKalb,1,0,0
Dyer,0,1,0
Henderson,1,0,0
McMinn,1,0,0
Monroe,1,0,0
Warren,1,0,0
State Police Agencies,30,0,1
Department of Safety,30,0,1
Other Agencies,1,0,0
Tennessee Bureau of Investigation,1,0,0
Total,,300,44
Cities,227,33,64
Abilene,0,0,3
Addison,1,0,0
Alamo,3,1,0
Amarillo,1,0,0
Angleton,1,0,1
Arlington,14,0,2
Austin,5,2,3
Balch Springs,2,0,0
Beaumont,2,0,0
Blue Mound,1,0,0
Boerne,1,0,0
Borger,1,0,0
Brady,1,0,0
Breckenridge,1,0,0
Brenham,2,1,0
Brownwood,1,0,0
Burkburnett,0,1,0
Burleson,2,0,1
Carrollton,1,0,0
Cedar Park,2,1,1
Cleburne,1,0,0
College Station,1,0,0
Commerce,4,0,0
Converse,0,0,1
Corpus Christi,1,0,0
Corrigan,1,2,0
Dallas,13,3,13
Decatur,1,0,0
Denton,3,1,0
DeSoto,1,1,1
Dickinson,1,0,0
Dumas,2,0,0
Edcouch,18,0,0
El Campo,1,0,0
Elgin,3,0,0
El Paso,3,0,0
Ennis,0,1,0
Fate,0,0,1
Ferris,1,0,0
Floresville,3,0,0
Fort Worth2,8,2,5
Frisco,1,1,0
Gainesville,1,0,0
Garland,2,0,0
Gatesville,0,1,0
Georgetown,1,0,0
Giddings,1,0,0
Gladewater,4,0,1
Glenn Heights,1,0,0
Granbury,0,1,0
Grapeland,0,0,0
Greenville,1,0,0
Hamilton,0,1,0
Harker Heights,0,0,0
Harlingen,0,1,1
Henderson,2,0,0
Hillsboro,1,0,0
Hollywood Park,1,0,1
Houston,13,2,9
Hurst,0,0,2
Iowa Park,1,0,0
Itasca,1,0,0
Jacksonville,1,0,0
Jarrell,1,0,0
Kennedale,1,0,0
Kingsville,0,0,0
Kyle,0,0,1
Lacy-Lakeview,1,0,0
La Grange,0,1,0
Lake Dallas,0,1,0
Lampasas,2,0,0
La Porte,0,0,1
Laredo,1,0,0
League City,0,0,1
Levelland,1,0,0
Lewisville,1,0,1
Livingston,0,0,1
Longview,2,1,0
Lubbock,1,0,2
Mansfield,1,0,0
Marble Falls,0,0,1
McKinney,2,0,0
Mesquite,3,0,0
Nederland,1,0,0
New Braunfels,5,0,1
North Richland Hills,4,0,0
Odessa2,3,0,2
Overton,1,1,0
Palestine,4,0,0
Pasadena,4,0,0
Pearland,1,0,0
Pflugerville,1,0,0
Pleasanton,2,0,0
Port Arthur,2,0,0
Port Isabel,2,0,0
Port Neches,0,0,0
Richardson,0,0,1
Rio Grande City,0,1,0
Rockdale,2,0,0
Rockwall,3,1,0
Roma,1,0,0
Rosenberg,1,1,0
Rowlett,1,0,0
San Antonio,5,0,4
San Juan,1,0,1
Santa Fe,0,0,1
Schulenburg,1,0,0
Silsbee,1,0,0
South Padre Island,0,1,0
Spur,2,0,0
Stafford,0,1,0
Sunset Valley,1,0,0
Sweeny,2,0,0
Sweetwater,1,0,0
Tahoka,0,0,0
Tool,1,0,0
Tyler,0,0,0
University Park,1,0,0
Vernon,4,0,0
Victoria,1,0,0
Vidor,2,0,0
Waco,4,1,0
Wallis,1,0,0
Wichita Falls,1,0,0
Willow Park,2,0,0
Winters,1,0,0
Universities and Colleges,8,2,1
Houston Community College,1,0,0
"Texas State University, San Marcos",2,0,0
Texas Woman's University,0,0,1
Tyler Junior College,2,0,0
University of Texas:,,,
Austin,2,2,0
Houston,1,0,0
Metropolitan Counties,39,6,4
Brazoria,1,0,0
Chambers,1,0,0
El Paso,1,0,0
Fort Bend,2,0,0
Galveston,0,0,0
Harris,13,2,1
Hudspeth,10,1,0
Johnson,2,0,0
Montgomery,1,1,0
Randall,0,0,1
Tarrant,3,0,0
Travis,2,0,0
Williamson,3,2,2
Nonmetropolitan Counties,15,2,1
Bailey,0,1,0
Bee,0,0,0
Cherokee,1,0,0
Crockett,1,0,0
Duval,1,0,0
Floyd,1,0,0
Houston,2,1,0
Kerr,1,0,0
Leon,2,0,0
Llano,0,0,0
McCulloch,1,0,0
Nacogdoches,0,0,1
Ward,4,0,0
Washington,1,0,0
Other Agencies,11,1,1
Dallas-Fort Worth International Airport2,1,1,0
Independent School District:,,,
Austin,1,0,0
Bay City,1,0,0
Brazosport,1,0,0
Houston,4,0,0
Hutto,0,0,0
Roma,2,0,0
Spring Branch,1,0,1
Total,,12,3
Cities,11,2,3
Farmington,3,0,0
Kaysville,1,0,0
Layton,1,0,0
Moab,0,0,1
North Salt Lake,1,0,0
Ogden,1,0,0
Roy,0,1,1
Salt Lake City,1,0,0
Sandy,1,0,0
South Jordan,1,0,0
South Ogden,1,0,1
West Valley,0,1,0
Metropolitan Counties,0,1,0
Washington,0,1,0
Nonmetropolitan Counties,1,0,0
Duchesne,1,0,0
Total,,102,27
Cities,21,6,11
Alexandria,2,1,2
Charlottesville,2,0,1
Chesapeake,2,0,0
Colonial Beach,0,1,0
Dayton,0,1,0
Glade Spring,0,1,0
Hampton,2,0,0
Harrisonburg,1,0,0
Leesburg,2,1,1
Lynchburg,1,0,0
Newport News,1,0,3
Purcellville,1,0,0
Richlands,1,0,0
Richmond,3,0,2
Roanoke,1,0,0
Suffolk,0,0,1
Vienna,0,0,1
Virginia Beach,1,1,0
Winchester,0,0,0
Woodstock,1,0,0
Universities and Colleges,2,1,4
Hampton University,0,0,1
James Madison University,0,1,1
Longwood University,1,0,0
University of Mary Washington,1,0,1
University of Virginia,0,0,1
Metropolitan Counties,71,20,10
Albemarle County Police Department,1,0,0
Amelia,0,0,1
Amherst,2,0,0
Arlington County Police Department,8,4,1
Bedford,1,1,0
Campbell,1,0,0
Chesterfield County Police Department,2,1,0
Dinwiddie,0,2,0
Fairfax County Police Department,27,8,2
Fluvanna,1,0,1
Franklin,2,0,0
Giles,0,0,1
Hanover,1,0,0
Henrico County Police Department,1,0,0
James City County Police Department,1,0,0
Loudoun,12,2,2
Nelson,0,0,1
Prince George County Police Department,2,0,0
Prince William County Police Department,3,1,0
Roanoke County Police Department,0,1,1
Spotsylvania,1,0,0
Stafford,4,0,0
Washington,1,0,0
Nonmetropolitan Counties,5,0,2
Accomack,1,0,0
Charlotte,2,0,0
Northampton,2,0,0
Page,0,0,1
Pittsylvania,0,0,1
State Police Agencies,3,0,0
State Police:,,,
Dinwiddie County,1,0,0
Fairfax County,0,0,0
Prince William County,1,0,0
Richmond,1,0,0
Total,,18,4
Cities,15,3,7
Barre,1,0,0
Bennington,3,1,1
Berlin,1,0,0
Brandon,0,0,1
Brattleboro,0,0,0
Burlington,1,1,1
Hartford,0,0,1
Milton,2,0,1
Montpelier,2,0,0
Newport,1,0,1
Rutland,2,0,1
South Burlington,0,1,0
St. Albans,1,0,0
Windsor,1,0,0
Universities and Colleges,2,1,2
University of Vermont,2,1,2
State Police Agencies,1,0,0
State Police:,,,
Middlesex,1,0,0
St. Albans,0,0,0
Total,,331,76
Cities,290,58,109
Aberdeen,3,0,0
Auburn,1,1,1
Bainbridge Island,0,1,0
Bellevue,5,3,2
Bellingham,5,0,1
Blaine,0,0,1
Bonney Lake,1,0,0
Bothell,2,0,0
Bremerton,1,0,0
Brier,1,2,0
Burien,3,1,2
Chehalis,1,0,0
Covington,2,0,0
Des Moines,3,1,0
Ellensburg,1,0,0
Everett,5,2,1
Federal Way,1,0,0
Index,0,1,0
Issaquah,1,1,1
Kent,10,4,2
Lake Stevens,1,0,0
Longview,0,0,2
Maple Valley,1,0,0
Marysville,1,0,0
Mercer Island,1,2,0
Monroe,1,0,0
Montesano,1,0,0
Moses Lake,9,0,0
Mount Vernon,3,0,0
Mukilteo,1,1,0
Normandy Park,1,0,0
Oak Harbor,1,0,0
Olympia,1,1,1
Oroville,0,1,0
Port Angeles,1,0,2
Pullman,2,0,1
Puyallup,1,0,0
Redmond,1,0,0
Renton,4,2,1
Richland,0,1,0
Ruston,1,0,0
Sammamish2,2,0,2
SeaTac,3,0,1
Seattle2,178,26,80
Shoreline,0,1,1
South Bend,0,0,0
Spokane,4,2,3
Spokane Valley,5,0,2
Steilacoom,2,0,0
Sunnyside,1,0,0
Tacoma,6,1,0
Tukwila,0,1,0
Vancouver,6,2,2
Walla Walla,1,0,0
West Richland,1,0,0
Yakima,2,0,0
Zillah,1,0,0
Universities and Colleges,3,10,0
Eastern Washington University,1,6,0
Evergreen State College,0,3,0
University of Washington,1,0,0
Western Washington University2,1,1,0
Metropolitan Counties,34,7,7
Chelan,1,1,0
Clark,1,0,1
Cowlitz,0,0,0
King,17,2,4
Kitsap,1,0,0
Pierce,1,1,0
Skagit,2,0,0
Snohomish,3,1,1
Spokane,4,1,0
Stevens,0,0,1
Whatcom,1,1,0
Yakima,3,0,0
Nonmetropolitan Counties,4,0,0
Clallam,2,0,0
Island,1,0,0
Lewis,1,0,0
Other Agencies,0,1,0
Port of Seattle,0,1,0
Total,,39,18
Cities,29,14,4
Appleton,2,0,0
Barron,1,0,0
Beloit,0,1,0
Campbell Township,0,1,0
Chippewa Falls,0,0,0
Ellsworth,1,0,0
Fond du Lac,0,2,0
Green Bay,1,1,0
Hudson,0,0,1
Janesville,2,1,0
Jefferson,1,0,0
Juneau,1,0,0
La Crosse,0,1,0
Lake Delton,1,0,0
Madison,3,1,3
Mayville,2,0,0
Menasha,1,0,0
Milwaukee,2,0,0
Monroe,4,0,0
Neenah,1,0,0
New London,0,1,0
North Fond du Lac,0,0,0
Oshkosh,0,2,0
Platteville,1,0,0
Port Washington,1,0,0
Rice Lake,1,0,0
Ripon,0,1,0
Sheboygan,1,0,0
Town of Madison,1,0,0
Wauwatosa,0,1,0
Winneconne,0,1,0
Wisconsin Rapids,1,0,0
Metropolitan Counties,4,4,0
Columbia,0,2,0
Dane,1,0,0
Douglas,1,0,0
Iowa,1,0,0
Outagamie,0,1,0
Rock,1,1,0
Nonmetropolitan Counties,6,0,1
Dodge,2,0,1
Manitowoc,1,0,0
Monroe,1,0,0
Oneida,1,0,0
Sauk,1,0,0
Total,,18,6
Cities,8,1,2
Huntington,2,0,1
Morgantown,2,0,0
Moundsville,1,0,0
St. Albans,0,0,0
Wheeling,3,1,0
White Sulphur Springs,0,0,1
Metropolitan Counties,4,1,0
Hancock,2,0,0
Kanawha,0,1,0
Monongalia,1,0,0
Putnam,1,0,0
Nonmetropolitan Counties,5,1,0
Hardy,0,0,0
Lewis,2,1,0
Mason,3,0,0
State Police Agencies,1,3,0
State Police:,,,
Bridgeport,0,1,0
Hamlin,0,0,0
Morgantown,1,0,0
Wayne,0,2,0
Other Agencies,0,0,1
Metropolitan Drug Enforcement Network Team,0,0,1
Total,,4,0
Cities,3,0,1
Cody,1,0,0
Evanston,1,0,0
Laramie,0,0,1
Sheridan,1,0,0
Universities and Colleges,1,0,0
University of Wyoming,1,0,0
